"id","id_revatua","privee"
"l10n_pf_islands.state_pf_1",58,"False"
"l10n_pf_islands.state_pf_2",85,"False"
"l10n_pf_islands.state_pf_3",69,"False"
"l10n_pf_islands.state_pf_4",56,"False"
"l10n_pf_islands.state_pf_5",63,"False"
"l10n_pf_islands.state_pf_6",55,"False"
"l10n_pf_islands.state_pf_7",93,"False"
"l10n_pf_islands.state_pf_8",66,"False"
"l10n_pf_islands.state_pf_9",110,"False"
"l10n_pf_islands.state_pf_10",60,"False"
"l10n_pf_islands.state_pf_11",109,"False"
"l10n_pf_islands.state_pf_12",6,"False"
"l10n_pf_islands.state_pf_13",84,"False"
"l10n_pf_islands.state_pf_14",99,"False"
"l10n_pf_islands.state_pf_15",74,"False"
"l10n_pf_islands.state_pf_16",26,"False"
"l10n_pf_islands.state_pf_17",32,"False"
"l10n_pf_islands.state_pf_18",75,"False"
"l10n_pf_islands.state_pf_19",61,"False"
"l10n_pf_islands.state_pf_20",57,"False"
"l10n_pf_islands.state_pf_21",10,"False"
"l10n_pf_islands.state_pf_22",70,"False"
"l10n_pf_islands.state_pf_23",59,"False"
"l10n_pf_islands.state_pf_24",86,"False"
"l10n_pf_islands.state_pf_25",54,"False"
"l10n_pf_islands.state_pf_26",35,"False"
"l10n_pf_islands.state_pf_27",30,"False"
"l10n_pf_islands.state_pf_28",111,"False"
"l10n_pf_islands.state_pf_29",23,"False"
"l10n_pf_islands.state_pf_30",16,"False"
"l10n_pf_islands.state_pf_31",108,"False"
"l10n_pf_islands.state_pf_32",101,"False"
"l10n_pf_islands.state_pf_33",34,"False"
"l10n_pf_islands.state_pf_34",44,"False"
"l10n_pf_islands.state_pf_35",52,"False"
"l10n_pf_islands.state_pf_36",40,"False"
"l10n_pf_islands.state_pf_37",78,"False"
"l10n_pf_islands.state_pf_38",102,"False"
"l10n_pf_islands.state_pf_40",42,"False"
"l10n_pf_islands.state_pf_41",18,"False"
"l10n_pf_islands.state_pf_42",80,"False"
"l10n_pf_islands.state_pf_43",33,"False"
"l10n_pf_islands.state_pf_44",29,"False"
"l10n_pf_islands.state_pf_45",27,"False"
"l10n_pf_islands.state_pf_46",105,"False"
"l10n_pf_islands.state_pf_47",92,"False"
"l10n_pf_islands.state_pf_48",79,"False"
"l10n_pf_islands.state_pf_49",62,"False"
"l10n_pf_islands.state_pf_50",53,"False"
"l10n_pf_islands.state_pf_51",43,"False"
"l10n_pf_islands.state_pf_52",91,"False"
"l10n_pf_islands.state_pf_53",24,"False"
"l10n_pf_islands.state_pf_54",25,"False"
"l10n_pf_islands.state_pf_55",83,"False"
"l10n_pf_islands.state_pf_56",1,"False"
"l10n_pf_islands.state_pf_57",2,"False"
"l10n_pf_islands.state_pf_58",3,"False"
"l10n_pf_islands.state_pf_59",4,"False"
"l10n_pf_islands.state_pf_60",5,"False"
"l10n_pf_islands.state_pf_61",7,"False"
"l10n_pf_islands.state_pf_62",8,"False"
"l10n_pf_islands.state_pf_63",9,"False"
"l10n_pf_islands.state_pf_64",11,"False"
"l10n_pf_islands.state_pf_65",12,"False"
"l10n_pf_islands.state_pf_66",13,"False"
